| All HIDL binderized services (registered with hwservicemanager)
VINTF    R Interface                                                                                              Thread Use Server Clients
DM,FC    Y vendor.qti.hardware.trustedui@1.0::ITrustedInput/default                                               0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.0::ITrustedInput/qtee-vm                                               0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.0::ITrustedUI/default                                                  0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.0::ITrustedUI/qtee-vm                                                  0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.1::ITrustedInput/default                                               0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.1::ITrustedInput/qtee-vm                                               0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.1::ITrustedUI/default                                                  0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.1::ITrustedUI/qtee-vm                                                  0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.2::ITrustedUI/default                                                  0/1        1307   
DM,FC    Y vendor.qti.hardware.trustedui@1.2::ITrustedUI/qtee-vm                                                  0/1        1307   
DM,FC    Y vendor.qti.hardware.vpp@2.0::IHidlVppService/vppService                                                0/3        1348   
DM,FC    Y vendor.qti.hardware.wifidisplaysession@1.0::IWifiDisplaySession/wifidisplaysession                     0/3        1866   
DM,FC    Y vendor.qti.hardware.wifidisplaysession@1.0::IWifiDisplaySessionAudioTrack/wifidisplaysessionaudiotrack 0/3        1866   
DM,FC    Y vendor.qti.hardware.wifidisplaysession@1.0::IWifiDisplaySessionImageTrack/wifidisplaysessionimagetrack 0/3        1866   
DM,FC    Y vendor.qti.hardware.wifidisplaysession@1.0::IWifiDisplaySessionVideoTrack/wifidisplaysessionvideotrack 0/3        1866   
DM,FC    Y vendor.qti.ims.callinfo@1.0::IService/default                                                          0/1        1874   
DM,FC    Y vendor.qti.ims.factory@1.0::IImsFactory/default                                                        0/1        1874   
DM,FC    Y vendor.qti.ims.factory@1.1::IImsFactory/default                                                        0/1        1874   
DM,FC    Y vendor.qti.ims.factory@2.0::IImsFactory/default                                                        0/1        1874   
